1	1
2	011
3	00111
4	01011
5	0001111
6	0010111
7	0011011
8	0100111
9	0101011
10	000011111
11	000101111
12	000110111
13	000111011
14	001001111
15	001010111
16	001011011
17	001100111
18	001101011
19	010001111
20	010010111
21	010011011
22	010100111
23	010101011
24	00000111111
25	00001011111
26	00001101111
27	00001110111
28	00001111011
29	00010011111
30	00010101111
31	00010110111
32	00010111011
33	00011001111
34	00011010111
35	00011011011
36	00011100111
37	00011101011
38	00100011111
39	00100101111
40	00100110111
41	00100111011
42	00101001111
43	00101010111
44	00101011011
45	00101100111
46	00101101011
47	00110001111
48	00110010111
49	00110011011
50	00110100111
51	00110101011
52	01000011111
53	01000101111
54	01000110111
55	01000111011
56	01001001111
57	01001010111
58	01001011011
59	01001100111
60	01001101011
61	01010001111
62	01010010111
63	01010011011
64	01010100111
65	01010101011
